listing_id,borough,neighborhood,address,unit,zip,rent,net_effective_rent,gross_over_3000,no_fee,beds,baths,sqft,building_type,status,available_date,price_changed_at,latitude,longitude,bbl,bin,nearest_station,nearest_lines,nearest_dist_mi,nearest_walk_min,all_nearby_lines,hpd_total,hpd_open,hpd_open_class_c,hpd_rent_impairing_open,ecb_total,ecb_active,ecb_penalty_total,ecb_balance_due,dob_total,dob_open,source_url
5089017,staten_island,Saint George,30 Daniel Low Terrace,39,10301,1800,0,false,false,1,1,,RENTAL,ACTIVE,2026-07-01,2026-07-01T15:18:05.000Z,40.643796,-74.082102,5000280077,5000527,St George,SIR,0.469,9,SIR,287,14,5,1,24,0,26480,0,29,2,https://streeteasy.com/building/30-daniel-low-terrace-staten_island/39
5086286,staten_island,South Beach,13 Palisade Street,1A,10305,1450,0,false,false,0,1,,HOUSE,ACTIVE,2026-06-29,2026-06-29T14:56:34.000Z,40.597274,-74.06308,5031210144,5045993,Grasmere,SIR,1.167,23,SIR,0,0,0,0,0,0,0,0,0,0,https://streeteasy.com/building/13-palisade-street-staten_island/1a
5083129,staten_island,New Springville,190 Wellington Court,2,10314,1600,0,false,false,1,1,,TWOFAMILY,ACTIVE,2026-08-15,2026-06-25T01:26:50.000Z,40.579108,-74.159208,5024500521,5135864,Great Kills,SIR,1.946,39,SIR,0,0,0,0,1,0,2000,0,0,0,https://streeteasy.com/building/190-wellington-court-staten_island/2
5077411,staten_island,Saint George,5 Stuyvesant Place,4G,10301,2539,2344,false,false,0,1,,RENTAL,ACTIVE,2026-06-18,2026-06-18T19:16:57.000Z,40.643709,-74.077267,5000070058,5000066,St George,SIR,0.217,4,SIR,0,0,0,0,1,0,400,0,0,0,https://streeteasy.com/building/waters-edge/4g
5076689,staten_island,Dongan Hills,17 Old Town Road,1K,10304,2500,0,false,false,0,1,,RENTAL,ACTIVE,2026-06-18,2026-06-18T05:06:42.000Z,40.597093,-74.092859,5031910001,5046926,Old Town,SIR,0.272,5,SIR,12,3,2,1,3,0,350,0,21,0,https://streeteasy.com/building/1220-richmond-road-staten_island/1k
5074977,staten_island,Saint George,5 Bay Street,8II,10301,2921,2696,false,false,0,1,,RENTAL,ACTIVE,2026-06-16,2026-06-16T19:26:58.000Z,40.641693,-74.073551,5000010068,5131766,St George,SIR,0.167,3,SIR,0,0,0,0,0,0,0,0,0,0,https://streeteasy.com/building/residences-at-lighthouse-point/8ii
5056281,staten_island,Sunnyside,850 Howard Avenue,1B,10301,2100,0,false,false,1,1,,CONDO,ACTIVE,2026-05-29,2026-06-16T21:24:46.000Z,40.612814,-74.099131,5006107502,5015704,Grasmere,SIR,1.028,21,SIR,23,19,0,1,13,0,7650,0,30,4,https://streeteasy.com/building/850-howard-avenue-staten_island/1b
5052510,staten_island,West Brighton,869 Forest Avenue,2,10310,1750,0,false,false,1,1,,RENTAL,ACTIVE,2026-06-30,2026-05-26T16:47:52.000Z,40.629077,-74.118635,5002200094,5005938,Stapleton,SIR,2.275,46,SIR,34,21,0,2,1,0,0,0,4,0,https://streeteasy.com/building/869-forest-avenue-staten_island/2
5045669,staten_island,Port Richmond,67 Cottage Place,G,10302,1800,0,false,false,0,1,,TWOFAMILY,ACTIVE,2026-06-01,2026-05-17T22:49:48.000Z,40.635539,-74.130507,5010130015,5132893,Tompkinsville,SIR,2.913,58,SIR,0,0,0,0,0,0,0,0,0,0,https://streeteasy.com/building/67-cottage-place-staten_island/g
4574070,staten_island,Saint George,224 Richmond Terrace,5D,10301,2700,0,false,false,1,1,,RENTAL,ACTIVE,2024-10-25,2024-10-25T11:32:15.000Z,40.646992,-74.080568,5000130060,5000107,St George,SIR,0.434,9,SIR,22,2,2,1,14,2,20542,6250,25,2,https://streeteasy.com/building/the-view/5d
5063101,bronx,Mott Haven,40 Bruckner Boulevard,D1217,10454,2180,0,false,false,0,1,,RENTAL,ACTIVE,2026-06-04,2026-06-04T19:24:02.000Z,40.8063,-73.92722,2022950051,2129670,3 Av-138 St,6,0.273,5,6|4|5,23,2,2,0,16,0,20625,7500,4,1,https://streeteasy.com/building/bruckner-house/d1217
5089492,bronx,Tremont,1964 Grand Concourse,5B,10457,1549,0,false,false,0,1,,RENTAL,ACTIVE,2026-07-01,2026-07-01T20:40:12.000Z,40.85084,-73.904299,2028110024,2007737,Tremont Av,B|D,0.023,0,B|D|4,155,34,11,4,23,5,20815,12260,31,13,https://streeteasy.com/building/1964-grand-concourse-bronx/5b
5089150,bronx,Concourse,299 East 161st Street,802,10451,3150,2665,true,false,1,1,,RENTAL,ACTIVE,2026-07-01,2026-07-01T16:34:44.000Z,40.82558,-73.91735,2024210049,2130660,161 St-Yankee Stadium,4|B|D,0.375,8,4|B|D|2|5,60,1,0,0,10,0,26965,0,2,0,https://streeteasy.com/building/the-bronx-vibe/802
5089050,bronx,Norwood,3165 Decatur Avenue,7C,10467,1930,0,false,false,1,1,700,RENTAL,ACTIVE,2026-07-01,2026-07-01T15:43:54.000Z,40.873141,-73.876467,2033490027,2018417,Norwood-205 St,D,0.081,2,D|2|5|B,826,60,37,1,25,0,7080,0,17,1,https://streeteasy.com/building/3165-decatur-avenue-bronx/7c
5088988,bronx,Morrisania,1175 Fulton Avenue,2E,10456,1750,0,false,false,1,1,600,RENTAL,ACTIVE,2026-07-01,2026-07-01T15:08:07.000Z,40.829769,-73.905421,2026090046,2004218,Intervale Av,2|5,0.679,14,2|5|B|D,354,43,28,4,5,3,40975,40000,11,4,https://streeteasy.com/building/1175-fulton-avenue-bronx/2e
5089000,bronx,Mott Haven,25 Bruckner Boulevard,5F,10454,2800,2310,false,false,1,1,,RENTAL,ACTIVE,2026-07-01,2026-07-01T15:06:51.000Z,40.807536,-73.92849,2023090012,2128931,3 Av-138 St,6,0.23,5,6|4|5,18,6,4,0,31,0,45787,0,10,0,https://streeteasy.com/building/the-crescendo/5f
5088970,bronx,Bronxwood,665 Thwaites Place,1T,10467,1900,0,false,false,1,1,,CO_OP,ACTIVE,2026-07-01,2026-07-01T15:00:23.000Z,40.859231,-73.869036,2043410001,2049998,Pelham Pkwy,2|5,0.107,2,2|5,89,74,8,16,17,4,14230,5000,57,32,https://streeteasy.com/building/665-thwaites-place-bronx/1t
5088979,bronx,Mott Haven,25 Bruckner Boulevard,2S,10454,2700,2228,false,false,0,1,,RENTAL,ACTIVE,2026-07-01,2026-07-01T14:55:27.000Z,40.807536,-73.92849,2023090012,2128931,3 Av-138 St,6,0.23,5,6|4|5,18,6,4,0,31,0,45787,0,10,0,https://streeteasy.com/building/the-crescendo/2s
5088903,bronx,Tremont,1964 Grand Concourse,2G,10457,1714,0,false,false,1,1,,RENTAL,ACTIVE,2026-07-01,2026-07-01T13:43:02.000Z,40.85084,-73.904299,2028110024,2007737,Tremont Av,B|D,0.023,0,B|D|4,155,34,11,4,23,5,20815,12260,31,13,https://streeteasy.com/building/1964-grand-concourse-bronx/2g
5088625,bronx,Mott Haven,2385 3rd Avenue,B-1206,10451,2600,2383,false,false,0,1,,RENTAL,ACTIVE,2024-09-08,2026-07-01T13:03:43.000Z,40.808859,-73.931873,2023190002,2129132,3 Av-138 St,6,0.283,6,6|4|5,34,25,4,2,21,1,40305,7500,1,0,https://streeteasy.com/building/third-at-bankside/b1206
5088615,bronx,Morris Heights,2004 Davidson Avenue,1,10453,2100,0,false,false,1,1,,RENTAL,ACTIVE,2026-07-01,2026-07-01T04:23:17.000Z,40.85282,-73.909146,2028630011,2124649,Burnside Av,4,0.072,1,4|B|D,50,13,8,0,16,0,33125,-401,1,1,https://streeteasy.com/building/2004-davidson-avenue-bronx/1
5088593,bronx,Williamsbridge,830 Magenta Street,6A,10467,2400,0,false,false,1,1,,RENTAL,ACTIVE,2026-06-30,2026-07-01T03:28:18.000Z,40.873929,-73.86177,2046330001,2057043,Burke Av,2|5,0.329,7,2|5,471,54,27,7,40,0,25612,1250,56,4,https://streeteasy.com/building/831-bartholdi-street-bronx/6a
5088581,bronx,Fordham,2420 Morris Avenue,6AA,10468,2450,0,false,false,1,1,,CO_OP,ACTIVE,2026-06-30,2026-07-01T02:52:17.000Z,40.860866,-73.899998,2031730013,2013904,Fordham Rd,B|D,0.106,2,B|D|4,626,189,39,17,19,1,24280,500,40,2,https://streeteasy.com/building/origin-north-morris/6aa
5087889,bronx,Mott Haven,310 Grand Concourse,11B,10451,2199,0,false,false,0,1,,RENTAL,ACTIVE,2026-06-30,2026-06-30T19:04:32.000Z,40.81436,-73.92862,2023410028,2130531,138 St-Grand Concourse,4|5,0.093,2,4|5|6|2,52,6,2,2,17,1,12500,2500,0,0,https://streeteasy.com/building/310-grand-concourse-bronx/11b
5087880,bronx,Highbridge,1072 Woodcrest Avenue,4D,10452,2000,0,false,false,1,1,,RENTAL,ACTIVE,2026-06-30,2026-06-30T19:01:39.000Z,40.834342,-73.926403,2025090006,2003148,167 St,4,0.271,5,4|B|D,1449,83,26,7,66,1,38089,-1250,54,2,https://streeteasy.com/building/1072-woodycrest-avenue-bronx/4d
5087796,bronx,Mott Haven,2385 3rd Avenue,C-1033,10451,2600,2383,false,false,0,1,,RENTAL,ACTIVE,2024-09-08,2026-07-01T13:03:42.000Z,40.808859,-73.931873,2023190002,2129132,3 Av-138 St,6,0.283,6,6|4|5,34,25,4,2,21,1,40305,7500,1,0,https://streeteasy.com/building/third-at-bankside/c1033
5087122,bronx,Mott Haven,228 East 135th Street,1106,10451,2425,0,false,false,0,1,,RENTAL,ACTIVE,2026-06-29,2026-06-30T02:43:01.000Z,40.809748,-73.930807,2023197501,2129363,3 Av-138 St,6,0.207,4,6|4|5,41,7,6,0,19,0,35030,4405,7,0,https://streeteasy.com/building/the-arches/1106
5087131,bronx,Mott Haven,228 East 135th Street,1006,10451,2534,2323,false,false,1,1,,RENTAL,ACTIVE,2026-06-29,2026-06-30T02:52:38.000Z,40.809748,-73.930807,2023197501,2129363,3 Av-138 St,6,0.207,4,6|4|5,41,7,6,0,19,0,35030,4405,7,0,https://streeteasy.com/building/the-arches/1006
5087528,bronx,Mott Haven,224 East 135th Street,1117,10451,2500,0,false,false,1,1,,RENTAL,ACTIVE,2026-06-30,2026-06-30T15:23:36.000Z,40.809945,-73.931046,2023197501,2129362,3 Av-138 St,6,0.216,4,6|4|5,41,7,6,0,19,0,35030,4405,7,0,https://streeteasy.com/building/the-arches-nyc/1117
5086854,bronx,Mott Haven,261 Grand Concourse,3701,10451,3137,2534,true,false,1,1,,RENTAL,ACTIVE,2026-06-29,2026-06-29T20:33:46.000Z,40.81402,-73.93,2023440001,2000000,138 St-Grand Concourse,4|5,0.045,1,4|5|6|2,0,0,0,0,70,32,178600,105625,12,10,https://streeteasy.com/building/concourse-point/3701
5086867,bronx,Mott Haven,261 Grand Concourse,3704,10451,3075,2484,true,false,1,1,,RENTAL,ACTIVE,2026-06-29,2026-06-29T20:40:31.000Z,40.81402,-73.93,2023440001,2000000,138 St-Grand Concourse,4|5,0.045,1,4|5|6|2,0,0,0,0,70,32,178600,105625,12,10,https://streeteasy.com/building/concourse-point/3704
5086868,bronx,Mott Haven,261 Grand Concourse,3707,10451,3243,2619,true,false,1,1,,RENTAL,ACTIVE,2026-06-29,2026-06-29T20:45:01.000Z,40.81402,-73.93,2023440001,2000000,138 St-Grand Concourse,4|5,0.045,1,4|5|6|2,0,0,0,0,70,32,178600,105625,12,10,https://streeteasy.com/building/concourse-point/3707
5086876,bronx,Mott Haven,261 Grand Concourse,3723,10451,3468,2801,true,false,1,1,,RENTAL,ACTIVE,2026-06-29,2026-06-29T21:06:52.000Z,40.81402,-73.93,2023440001,2000000,138 St-Grand Concourse,4|5,0.045,1,4|5|6|2,0,0,0,0,70,32,178600,105625,12,10,https://streeteasy.com/building/concourse-point/3723
5086877,bronx,Mott Haven,261 Grand Concourse,1802,10451,3200,2585,true,false,1,1,,RENTAL,ACTIVE,2026-06-29,2026-06-29T21:09:50.000Z,40.81402,-73.93,2023440001,2000000,138 St-Grand Concourse,4|5,0.045,1,4|5|6|2,0,0,0,0,70,32,178600,105625,12,10,https://streeteasy.com/building/concourse-point/1802
